Product,Product URL,Vendor,Vendor URL,Price in AUD,Category,Quantity,Date Time Recorded
Mind Hacking How to Change Your Mind for Good in,http://jcnhui6sgumsawtd.onion/product/35042c60-639e-11ea-b296-6beed7f207df,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,3.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
How To Get Free Gift Cards,http://jcnhui6sgumsawtd.onion/product/2b8394c0-639e-11ea-950f-ed29523ed733,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,1.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
Amazon Carding Method with CC 2019,http://jcnhui6sgumsawtd.onion/product/20491c60-639e-11ea-a4a9-75ac38857d3a,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,11.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
How To Get A Free Mastercard,http://jcnhui6sgumsawtd.onion/product/190d0450-639e-11ea-9406-f374830a9777,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,1.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
HOW TO HACK CREDIT CARD DATA [FULL TUTORIAL],http://jcnhui6sgumsawtd.onion/product/11e39950-639e-11ea-8175-c98dce2f0a95,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,3.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
★ ♕ FOR DUMMIES EBOOK PACK ♕ ★,http://jcnhui6sgumsawtd.onion/product/0a177d40-639e-11ea-a620-939825ff578d,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,3.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
A Guide to Hide like a Ninja from PayPal,http://jcnhui6sgumsawtd.onion/product/001cacc0-639e-11ea-8bf4-df9cfbcdb0ad,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,2.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
How To Get A Asus Laptop For Only $25 (No Carding),http://jcnhui6sgumsawtd.onion/product/f92870f0-639d-11ea-8d80-45dda092a372,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,1.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
How To Hack Into A Computer On LAN,http://jcnhui6sgumsawtd.onion/product/f1628060-639d-11ea-8d54-bda1cb8e1fac,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,3.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
APPLE CARDING TUTORIAL 2019 method,http://jcnhui6sgumsawtd.onion/product/e71666c0-639d-11ea-9ed5-fbf701596798,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,11.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
Secrets Of The Mysterious G-Spot!,http://jcnhui6sgumsawtd.onion/product/dee98e90-639d-11ea-bfd1-a131db291118,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,1.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
Hacking Tutorials Pack (1000+ Tutorials),http://jcnhui6sgumsawtd.onion/product/d3920fd0-639d-11ea-b92b-2300484b6de1,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,1.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
Advanced Phishing Technique Tab Napping,http://jcnhui6sgumsawtd.onion/product/cae427c0-639d-11ea-91c4-e792c6b21f66,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,2.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
How To Get Free Amazon Prime,http://jcnhui6sgumsawtd.onion/product/c3ce2a30-639d-11ea-bf10-2923d316d416,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,1.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
How To Get Any Turtle Beach Product For Free,http://jcnhui6sgumsawtd.onion/product/bb6ccd40-639d-11ea-8e77-959b2cfe20a0,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,1.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
Poker Spy v2.92.03 for Windows - play as master,http://jcnhui6sgumsawtd.onion/product/b2c93220-639d-11ea-b747-4f806ca2a62b,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,3.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
"2019 Darknet Collection - 16,000 ONION links",http://jcnhui6sgumsawtd.onion/product/a887ffb0-639d-11ea-a839-9d01132741e5,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,9.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
Carding On Your Smartphone (Video Tutorial),http://jcnhui6sgumsawtd.onion/product/a13f5cd0-639d-11ea-928f-2b44247df130,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,1.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
21 Income Streams - Multiple Ways To Make Money O,http://jcnhui6sgumsawtd.onion/product/960ffb90-639d-11ea-b6ea-0fc63a14db84,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,1.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
Amazon Carding Method with CC 2019,http://jcnhui6sgumsawtd.onion/product/8b48a230-639d-11ea-8ae3-c1b41e7727ea,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,11.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
How To Get CS:GO For Free,http://jcnhui6sgumsawtd.onion/product/82d27af0-639d-11ea-9599-83320e0c3643,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,1.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
How To Become A Fake Uber Driver - Make $725+ Per,http://jcnhui6sgumsawtd.onion/product/772654f0-639d-11ea-9e01-43ef63c28d8a,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,1.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
CVV to Paypal v1.1,http://jcnhui6sgumsawtd.onion/product/6f2e63d0-639d-11ea-99fd-9174cfdbcdbb,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,2.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
Best College of Frand (you will enjoy it),http://jcnhui6sgumsawtd.onion/product/6438e280-639d-11ea-b938-a9a7e5d0c3e4,xfuckx,http://jcnhui6sgumsawtd.onion/vendor/b63ed800-4db9-11ea-a764-09c1031e0973,9.0,Guides & Tutorials,10000.0,Thu Sep 17 14:55:45 2020
Market Sentiment Indicator,http://jcnhui6sgumsawtd.onion/product/e44c85b0-d953-11ea-a566-1f0f53351a57,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Market Profile Indicator,http://jcnhui6sgumsawtd.onion/product/c9cf6720-d953-11ea-ba0a-41b894d9ac05,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Market Depth Indicator,http://jcnhui6sgumsawtd.onion/product/ad29db60-d953-11ea-a8e4-5355391499a4,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Keltner Channel Indicator,http://jcnhui6sgumsawtd.onion/product/7206c6d0-d953-11ea-be22-17c97060ec37,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Inside Bars Indicator,http://jcnhui6sgumsawtd.onion/product/556c4360-d953-11ea-bda6-f3795eaceb07,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Impulse Indicator,http://jcnhui6sgumsawtd.onion/product/3b35e5f0-d953-11ea-b946-ef6e32c9cdd5,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
HHHCLLLC Indicator,http://jcnhui6sgumsawtd.onion/product/20d98a30-d953-11ea-98c3-0f3fac3b9ddc,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Heat Finder Indicator,http://jcnhui6sgumsawtd.onion/product/06c660d0-d953-11ea-a706-11c8e9042466,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Fractal Channel Indicator,http://jcnhui6sgumsawtd.onion/product/ebebccf0-d952-11ea-b0d8-f92c0cb9b58c,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Flow Indicator,http://jcnhui6sgumsawtd.onion/product/d15cd1f0-d952-11ea-8557-1d2dd8fbf8eb,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Flat Market Indicator,http://jcnhui6sgumsawtd.onion/product/b6730b00-d952-11ea-951c-af787a92438d,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
