Product,Product URL,Category,Vendor,Vendor URL,Price in AUD,Shipping From,Shipping To,Date Time Recorded
Droid Jack v4.4,welcome?action=show&listing=61328,Exploits / Exploit Kits,eucarder,userinfo?user=eucarder,22.08,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
7G High Quality MDMA UK - UK Vendor,welcome?action=show&listing=128266,Ecstasy - MDMA,snowcap,userinfo?user=snowcap,88.96,United Kingdom,United Kingdom,Thu Sep 17 14:55:45 2020
BETTER THAN WESTLAW BACKGROUND REPORT 99%RATE,welcome?action=show&listing=115173,Other Fraud Related,sataii,userinfo?user=sataii,41.41,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
2g ***TOP PREMIUM*** SUGAR WAX,welcome?action=show&listing=117252,Cannabis - Concentrates,youngpushaman,userinfo?user=youngpushaman,75.93,United States,United States,Thu Sep 17 14:55:45 2020
PROMO SALE - 14G WHITE WIDOW - CALI IMPORT - AAA+ - UK - NDD,welcome?action=show&listing=123608,Cannabis - Buds and Flowers,blackmass,userinfo?user=blackmass,169.04,United Kingdom,United Kingdom,Thu Sep 17 14:55:45 2020
Hulu with Live TV and ShowTime,welcome?action=show&listing=76863,Various Logins,pornseller,userinfo?user=pornseller,17.94,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
Saturn Rick Simpson Oil Cannabis Syrup 1000mg THC,welcome?action=show&listing=114893,Cannabis - Edibles,thejoint,userinfo?user=thejoint,55.22,United States,United States,Thu Sep 17 14:55:45 2020
Sildamax Viagra 100mg 10 tablets per strip x 2,welcome?action=show&listing=83570,Steroids,cerberusuk,userinfo?user=cerberusuk,44.48,United Kingdom,Worldwide,Thu Sep 17 14:55:45 2020
7 Grams of Live Resin Sugar,welcome?action=show&listing=79103,Cannabis - Concentrates,dankservices,userinfo?user=dankservices,531.53,United States,Worldwide,Thu Sep 17 14:55:45 2020
JackeenTurbo Tip Jar 1,welcome?action=show&listing=98915,Currency,jackeenturbo,userinfo?user=jackeenturbo,1.62,Ireland,European Union,Thu Sep 17 14:55:45 2020
Al Italian Beef (eGift Non Carded+PDF) *HQ*,welcome?action=show&listing=111938,Other Services,xiaobaobei26,userinfo?user=xiaobaobei26,2.76,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
Rolex men watch (black ghost),welcome?action=show&listing=121377,Other Forgeries,boyfootstep,userinfo?user=boyfootstep,617.13,Hong Kong,Worldwide,Thu Sep 17 14:55:45 2020
Gamestop Sentry MBA Config / Snapshot,welcome?action=show&listing=56910,Other Software,drunkdragon,userinfo?user=drunkdragon,1.38,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
"1g of 100-1 Kanna Extract (Natural SSRI, Weed Enhancer) (sample)",welcome?action=show&listing=123378,Other Drugs,honesttrader,userinfo?user=honesttrader,7.11,United Kingdom,European Union,Thu Sep 17 14:55:45 2020
FakeMoney 500 x 50 EUR Old Series PASS UV Pen Test!,welcome?action=show&listing=84320,Currency,xxxxtentacion,userinfo?user=xxxxtentacion,4866.92,Netherlands,Worldwide,Thu Sep 17 14:55:45 2020
Videopusher 2.0.0,welcome?action=show&listing=56016,Other Software,drunkdragon,userinfo?user=drunkdragon,1.38,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
BANG.com Porn Account,welcome?action=show&listing=77416,Various Logins,pornseller,userinfo?user=pornseller,6.9,Digital / Service,Digital / Service,Thu Sep 17 14:55:45 2020
Sl-164 powdrer 10 gram,welcome?action=show&listing=105755,Benzos - RC,mastermeds,userinfo?user=mastermeds,220.89,China,Worldwide,Thu Sep 17 14:55:45 2020
25x CRITICAL + AUTOFLO SEED - EU/WW FREE SHIPPING -,welcome?action=show&listing=126262,Cannabis - Seeds,megachill,userinfo?user=megachill,243.34,European Union,Worldwide,Thu Sep 17 14:55:45 2020
2 Gr Pure Uncutted Turkish Heroin #3,welcome?action=show&listing=115400,Opioids - Heroin,lucky7,userinfo?user=lucky7,84.36,Netherlands,Worldwide,Thu Sep 17 14:55:45 2020
20x 200mg Mixed XTC Pills MDMA - FREE Shipping from Germany,welcome?action=show&listing=121788,Ecstasy - Pills,thcliquid24,userinfo?user=thcliquid24,61.64,Germany,Worldwide,Thu Sep 17 14:55:45 2020
16oz. (480ml) HIGH QUALITY CONCENTRATED GHB (OLD SCHOOL GAMMA G) FREE SHIPPING!!!!,welcome?action=show&listing=100718,Dissociatives - GHB,clearwater3,userinfo?user=clearwater3,662.69,United States,United States,Thu Sep 17 14:55:45 2020
